 ,Label,Area,Mean,Min,Max,X,Y,BX,BY,Width,Height
1,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0001-0020:c:2/3 t:1/12 - TimeCourseNoise #1,403,16366.283,107,57964,72.914,1562.885,62,1578,22,31
2,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0002-0025:c:2/3 t:1/12 - TimeCourseNoise #1,860,16606.273,128,53337,494.902,1557.697,478,1576,35,36
3,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0003-0031:c:2/3 t:1/12 - TimeCourseNoise #1,874,17504.501,912,54067,182.518,1555.141,164,1572,41,40
4,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0004-0039:c:2/3 t:1/12 - TimeCourseNoise #1,1066,15742.532,114,58021,597.709,1544.317,576,1560,44,32
5,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0005-0044:c:2/3 t:1/12 - TimeCourseNoise #1,918,15244.541,151,61800,734.600,1537.158,715,1559,34,41
6,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0006-0039:c:2/3 t:1/12 - TimeCourseNoise #1,494,16713.117,178,51143,304.545,1544.656,284,1555,40,22
7,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0007-0050:c:2/3 t:1/12 - TimeCourseNoise #1,1119,19398.036,375,58329,1264.181,1533.691,1247,1554,35,42
8,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0008-0047:c:2/3 t:1/12 - TimeCourseNoise #1,720,17080.110,372,61340,1209.635,1536.368,1193,1550,32,28
9,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0009-0055:c:2/3 t:1/12 - TimeCourseNoise #1,1069,18079.519,123,62626,1080.241,1527.339,1062,1547,36,38
10,C2-TimeCourseNoise.lsm - TimeCourseNoise #1:0010-0068:c:2/3 t:1/12 - TimeCourseNoise #1,1037,15895.791,189,54732,465.784,1514.911,449,1535,44,40
